# Wood Mouldings Complete Catalog

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Chop pricing
- Join: Join pricing

## Wood Mouldings

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 151433 | 3/8" | 590 | Zen | 3.77 | 5.95 | 10.34 | 11.34 |
| 153IB | 7/16" | 398 | Imperial | 1.70 | 3.62 | 5.94 | 6.94 |
| 160810 | 1/4" | 1032 | Calais | 1.34 | 3.24 | 5.74 | 6.74 |
| 160812 | 1/4" | 1080 | Calais | 1.33 | 3.22 | 5.70 | 6.70 |
| 160814 | 1/4" | 1080 | Calais | 1.30 | 3.17 | 5.60 | 6.60 |
| 161810 | 5/16" | 835 | Calais | 1.81 | 3.93 | 6.87 | 7.87 |
| 161812 | 5/16" | 954 | Calais | 1.80 | 3.92 | 6.85 | 7.85 |
| 166900 | 5/16" | 1000 | Lisbon | 4.38 | 7.01 | 10.50 | 11.50 |
| 166903 | 5/16" | 1000 | Lisbon | 4.38 | 7.01 | 10.50 | 11.50 |
| 176361 | 3/8" | 2400 | Antica | 3.02 | 4.83 | 11.25 | 12.25 |
| 184508 | 1 1/8" | 137 | Lancaster II | 4.06 | 6.13 | 9.71 | 10.71 |
| 184510 | 1 1/8" | 117 | Lancaster II | 4.06 | 6.18 | 9.74 | 10.74 |
| 187183 | 3/8" | 1351 | Ambrosia | 3.41 | 5.29 | 8.93 | 9.93 |
| 192706 | 3/4" | 386 | Olsen | 2.30 | 3.62 | 5.52 | 6.52 |
| 192708 | 3/4" | 386 | Olsen | 2.30 | 3.62 | 5.52 | 6.52 |
| 195203 | 1 1/8" | 190 | Madison | 3.39 | 4.93 | 8.12 | 9.12 |
| 195204 | 1 1/8" | 187 | Madison | 3.34 | 4.84 | 7.96 | 8.96 |
| 195205 | 1 1/8" | 196 | Madison | 3.35 | 4.85 | 8.01 | 9.01 |
| 196870 | 3/4" | 276 | Colosseum II | 2.86 | 4.28 | 6.85 | 7.85 |
| 196871 | 3/4" | 276 | Colosseum II | 2.86 | 4.28 | 6.85 | 7.85 |
| 196872 | 3/4" | 323 | Colosseum II | 2.86 | 4.28 | 6.85 | 7.85 |
| 196874 | 3/4" | 330 | Colosseum II | 2.86 | 4.28 | 6.85 | 7.85 |
| 196876 | 3/4" | 276 | Colosseum II | 2.86 | 4.28 | 6.85 | 7.85 |
| 196877 | 3/4" | 276 | Colosseum | 2.86 | 4.28 | 6.85 | 7.85 |
| 197440 | 1/4" | 500 | Bauhaus II | 1.80 | 3.15 | 4.42 | 5.42 |
| 197450 | 1/4" | 500 | Bauhaus II | 1.70 | 3.04 | 4.33 | 5.33 |
| 197508 | 13/16" | 357 | Lancaster II | 2.85 | 4.59 | 8.27 | 9.27 |
| 197510 | 13/16" | 380 | Lancaster II | 2.85 | 4.59 | 8.27 | 9.27 |
| 198500 | 9/16" | 340 | Finn | 2.57 | 3.83 | 6.94 | 7.94 |
| 198510 | 9/16" | 330 | Finn | 2.57 | 3.83 | 6.94 | 7.94 |
| 198520 | 9/16" | 494 | Finn | 2.58 | 3.83 | 6.94 | 7.94 |
| 200285 | 11/16" | 333 | Tribeca | 1.40 | 2.08 | 4.14 | 5.14 |
| 200350 | 7/8" | 275 | Brimfield | 4.16 | 6.23 | 9.34 | 10.34 |
| 200360 | 7/8" | 300 | Brimfield | 4.44 | 6.35 | 9.51 | 10.51 |
| 200750 | 7/8" | 250 | Sofia | 4.38 | 6.54 | 9.90 | 10.90 |
| 200751 | 7/8" | 515 | Sofia | 4.35 | 6.76 | 9.84 | 10.84 |
| 200752 | 7/8" | 490 | Sofia | 4.57 | 7.31 | 10.33 | 11.33 |
| 202106 | 3/4" | 316 | Stitch | 3.60 | 5.81 | 10.70 | 11.70 |
| 202110 | 3/4" | 350 | Stitch | 3.94 | 6.37 | 11.73 | 12.73 |
| 202113 | 3/4" | 358 | Stitch | 3.83 | 6.20 | 11.43 | 12.43 |
| 202114 | 3/4" | 335 | Stitch | 3.42 | 5.53 | 10.19 | 11.19 |
| 202115 | 3/4" | 440 | Stitch | 3.42 | 5.53 | 10.19 | 11.19 |
| 202117 | 3/4" | 354 | Stitch | 3.43 | 5.54 | 10.21 | 11.21 |
| 202118 | 3/4" | 357 | Stitch | 3.45 | 5.61 | 10.33 | 11.33 |
| 202122 | 3/4" | 343 | Stitch | 3.43 | 5.55 | 10.23 | 11.23 |
| 202123 | 3/4" | 344 | Stitch | 3.43 | 5.54 | 10.21 | 11.21 |
| 202212 | 1/2" | 374 | Senelar | 7.51 | 11.34 | 17.17 | 18.17 |
| 203235 | 3/4" | 216 | Academie | 1.70 | 3.89 | 6.51 | 7.51 |
| 203237 | 3/4" | 216 | Academie | 1.70 | 3.90 | 6.53 | 7.53 |
| 203239 | 3/4" | 216 | Academie | 1.70 | 3.88 | 6.50 | 7.50 |
| 204706 | 3/4" | 270 | Olsen | 2.99 | 4.70 | 7.16 | 8.16 |
| 204708 | 3/4" | 270 | Olsen | 2.99 | 4.70 | 7.16 | 8.16 |
| 206180 | 7/8" | 162 | Hudson | 3.22 | 4.53 | 8.50 | 9.50 |
| 206190 | 7/8" | 162 | Hudson | 2.85 | 4.42 | 8.28 | 9.28 |
| 206200 | 7/8" | 162 | Hudson II | 2.56 | 4.05 | 7.54 | 8.54 |
