# Wood Mouldings Catalog (Continued)

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Pricing per chop
- Join: Pricing per join

## Wood Mouldings (Continued)

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 214670 | 11/16" | 288 | Tate | 3.25 | 5.27 | 8.48 | 9.48 |
| 245153 | 3/4" | 360 | Spencer II | 2.76 | 4.07 | 6.07 | 7.07 |
| 245154 | 3/4" | 360 | Spencer II | 2.76 | 4.07 | 6.07 | 7.07 |
| 246350 | 7/8" | 285 | Brooklyn | 1.50 | 2.41 | 5.13 | 6.13 |
| 247190 | 1 1/16" | 162 | Domus | 5.33 | 8.02 | 12.22 | 13.22 |
| 247192 | 1 1/16" | 205 | Domus | 5.42 | 8.20 | 12.47 | 13.47 |
| 247194 | 1 1/16" | 216 | Domus | 5.34 | 8.04 | 12.25 | 13.25 |
| 247196 | 1 1/16" | 190 | Domus | 5.41 | 8.16 | 12.42 | 13.42 |
| 248150 | 3/4" | 240 | Spencer | 2.99 | 4.33 | 6.48 | 7.48 |
| 248151 | 3/4" | 210 | Spencer | 3.01 | 5.00 | 6.54 | 7.54 |
| 248152 | 3/4" | 270 | Spencer | 2.92 | 4.23 | 6.33 | 7.33 |
| 248153 | 3/4" | 300 | Spencer II | 3.71 | 5.47 | 8.15 | 9.15 |
| 248154 | 3/4" | 240 | Spencer II | 3.71 | 5.47 | 8.15 | 9.15 |
| 249500 | 3/4" | 235 | Finn | 3.59 | 5.09 | 7.78 | 8.78 |
| 249510 | 3/4" | 235 | Finn | 3.50 | 5.00 | 7.63 | 8.63 |
| 249520 | 3/4" | 255 | Finn | 3.46 | 5.00 | 7.63 | 8.63 |
| 250200 | 1" | 162 | Aura | 4.01 | 5.74 | 9.93 | 10.93 |
| 251700 | 3/4" | 198 | Oxide | 3.88 | 5.73 | 8.22 | 9.22 |
| 253206 | 3/4" | 392 | Shoji | 1.70 | 2.33 | 3.33 | 4.33 |
| 253208 | 3/4" | 354 | Shoji | 1.70 | 2.33 | 3.33 | 4.33 |
| 254904 | 3/4" | 236 | Metalia | 4.24 | 5.23 | 8.37 | 9.37 |
| 254905 | 3/4" | 236 | Metalia | 4.24 | 5.23 | 8.37 | 9.37 |
| 254906 | 3/4" | 236 | Metalia | 4.24 | 5.23 | 8.37 | 9.37 |
| 254907 | 3/4" | 236 | Metalia | 4.24 | 5.23 | 8.37 | 9.37 |
| 254908 | 3/4" | 236 | Metalia | 4.24 | 5.23 | 8.37 | 9.37 |
| 255482 | 1" | 108 | Jasper | 6.46 | 8.11 | 11.11 | 12.11 |
| 255484 | 1" | 108 | Jasper | 6.71 | 8.42 | 11.57 | 12.57 |
| 256350 | 13/16" | 152 | Brooklyn | 2.70 | 4.32 | 7.90 | 8.90 |
| 258601 | 1 1/4" | 216 | Carnivale | 3.06 | 4.26 | 9.35 | 10.35 |
| 258602 | 1 1/4" | 220 | Carnivale | 3.10 | 4.31 | 9.44 | 10.44 |
| 258603 | 1 1/4" | 209 | Carnivale | 3.03 | 4.32 | 9.46 | 10.46 |
| 258604 | 1 1/4" | 339 | Carnivale | 2.94 | 4.20 | 9.21 | 10.21 |
| 258605 | 1 1/4" | 300 | Carnivale | 3.04 | 4.33 | 9.49 | 10.49 |
| 258607 | 1 1/4" | 281 | Carnivale | 3.04 | 4.34 | 9.52 | 10.52 |
| 258608 | 1 1/4" | 220 | Carnivale | 3.07 | 4.29 | 9.42 | 10.42 |
| 258609 | 1 1/4" | 224 | Carnivale | 3.10 | 4.32 | 9.47 | 10.47 |
| 258610 | 1 1/4" | 224 | Carnivale | 3.10 | 4.34 | 9.53 | 10.53 |
| 259405 | 1 9/16" | 198 | Lars | 3.03 | 4.61 | 7.37 | 8.37 |
| 259406 | 1 9/16" | 198 | Lars | 3.05 | 4.64 | 7.43 | 8.43 |
| 261240 | 1 1/16" | 171 | Komodo | 4.49 | 6.47 | 9.80 | 10.80 |
| 261250 | 1 1/16" | 171 | Komodo | 4.77 | 6.88 | 10.42 | 11.42 |
| 26202 | 1 3/16" | 570 | Strainer Stock | 1.07 | 1.70 | 3.13 | 4.13 |
| 26204 | 1 5/8" | 374 | Strainer Stock | 1.47 | 2.75 | 4.58 | 5.58 |
| 26206 | 2 1/4" | 144 | Strainer Stock | 2.38 | 4.34 | 6.34 | 7.34 |
| 262407 | 1 3/4" | 180 | Lars | 4.16 | 6.06 | 9.64 | 10.64 |
| 264970 | 3/4" | 275 | Petites III | 3.31 | 4.29 | 8.36 | 9.36 |
| 264971 | 3/4" | 330 | Petites III | 3.33 | 4.29 | 8.36 | 9.36 |
