Item_Number,Description,Length_Price,Straight_Cut_Price,Chop_Price,Join_Price,Box_Price,Box_Qty,Width,Height,Rabbet_H,Cat_Page
33012,ASH NATURAL,5.05,6.84,8.63,10.90,2.78,285,1,1 7/16,1 3/16,A-85
33013,ASH LIGHT WALNUT,5.05,6.84,8.63,10.90,2.78,285,1,1 7/16,1 3/16,A-85
33014,ASH DARK BROWN,5.05,6.84,8.63,10.90,2.78,285,1,1 7/16,1 3/16,A-85
33015,ASH GRAY,5.05,6.84,8.63,10.90,2.78,285,1,1 7/16,1 3/16,A-85
33016,ASH BROWN,5.05,6.84,8.63,10.90,2.78,285,1,1 7/16,1 3/16,A-85
33017,ASH BLACK,5.05,6.84,8.63,10.90,2.78,285,1,1 7/16,1 3/16,A-85
36120,SIERRA FLOATER WALNUT,4.17,5.85,7.53,9.65,2.29,260,1 5/8,1 1/4,13/16,A-21
36124,SIERRA FLOATER PECAN,4.17,5.85,7.53,9.65,2.29,260,1 5/8,1 1/4,13/16,A-21
36127,SIERRA FLOATER BUFF,4.17,5.85,7.53,9.65,2.29,260,1 5/8,1 1/4,13/16,A-21
36145,SIERRA FLOATER GRAY,4.17,5.85,7.53,9.65,2.29,260,1 5/8,1 1/4,13/16,A-21
36158,SIERRA FLOATER BEIGE,4.17,5.85,7.53,9.65,2.29,260,1 5/8,1 1/4,13/16,A-21
36220,SIERRA FLOATER WALNUT,6.23,8.12,10.00,12.41,3.43,150,1 3/4,2,1 5/8,A-21
36224,SIERRA FLOATER PECAN,6.23,8.12,10.00,12.41,3.43,150,1 3/4,2,1 5/8,A-21
36227,SIERRA FLOATER BUFF,6.23,8.12,10.00,12.41,3.43,150,1 3/4,2,1 5/8,A-21
36245,SIERRA FLOATER GRAY,6.23,8.12,10.00,12.41,3.43,150,1 3/4,2,1 5/8,A-21
36258,SIERRA FLOATER BEIGE,6.23,8.12,10.00,12.41,3.43,150,1 3/4,2,1 5/8,A-21
36320,SIERRA WALNUT,4.17,5.85,7.53,9.65,2.29,250,1,1,3/4,A-19
36324,SIERRA PECAN,4.17,5.85,7.53,9.65,2.29,250,1,1,3/4,A-19
36327,SIERRA BUFF,4.17,5.85,7.53,9.65,2.29,250,1,1,3/4,A-19
36345,SIERRA GRAY,4.17,5.85,7.53,9.65,2.29,250,1,1,3/4,A-19
36358,SIERRA BEIGE,4.17,5.85,7.53,9.65,2.29,250,1,1,3/4,A-19
36420,SIERRA III WALNUT,2.20,3.33,4.47,6.10,1.21,420,3/4,3/4,1/2,A-33
36424,SIERRA III PECAN,2.20,3.33,4.47,6.10,1.21,420,3/4,3/4,1/2,A-33
36427,SIERRA III BUFF,2.20,3.33,4.47,6.10,1.21,420,3/4,3/4,1/2,A-33
36445,SIERRA III GRAY,2.20,3.33,4.47,6.10,1.21,420,3/4,3/4,1/2,A-33
36458,SIERRA III BEIGE,2.20,3.33,4.47,6.10,1.21,420,3/4,3/4,1/2,A-33
36520,SIERRA III WALNUT,4.10,5.77,7.44,9.55,2.26,230,13/16,1 5/16,1,A-33
36524,SIERRA III PECAN,4.10,5.77,7.44,9.55,2.26,230,13/16,1 5/16,1,A-33
36527,SIERRA III BUFF,4.10,5.77,7.44,9.55,2.26,230,13/16,1 5/16,1,A-33
36545,SIERRA III GRAY,4.10,5.77,7.44,9.55,2.26,230,13/16,1 5/16,1,A-33
36558,SIERRA III BEIGE,4.10,5.77,7.44,9.55,2.26,230,13/16,1 5/16,1,A-33
36620,SIERRA WALNUT,5.91,7.73,9.55,11.91,3.25,200,1 9/16,1 1/16,7/8,A-19
36624,SIERRA PECAN,5.91,7.73,9.55,11.91,3.25,200,1 9/16,1 1/16,7/8,A-19
36627,SIERRA BUFF,5.91,7.73,9.55,11.91,3.25,200,1 9/16,1 1/16,7/8,A-19
36645,SIERRA GRAY,5.91,7.73,9.55,11.91,3.25,200,1 9/16,1 1/16,7/8,A-19
36658,SIERRA BEIGE,5.91,7.73,9.55,11.91,3.25,200,1 9/16,1 1/16,7/8,A-19
36720,SIERRA II WALNUT,4.67,6.42,8.17,10.38,2.57,260,1,1 5/16,3/4,A-19A
36724,SIERRA II PECAN,4.67,6.42,8.17,10.38,2.57,260,1,1 5/16,3/4,A-19A
36727,SIERRA II BUFF,4.67,6.42,8.17,10.38,2.57,260,1,1 5/16,3/4,A-19A
36745,SIERRA II GRAY,4.67,6.42,8.17,10.38,2.57,260,1,1 5/16,3/4,A-19A
36758,SIERRA II BEIGE,4.67,6.42,8.17,10.38,2.57,260,1,1 5/16,3/4,A-19A
36820,SIERRA II WALNUT,6.78,8.79,10.81,13.29,3.73,214,1 9/16,1 1/4,5/8,A-19A
36824,SIERRA II PECAN,6.78,8.79,10.81,13.29,3.73,214,1 9/16,1 1/4,5/8,A-19A
36827,SIERRA II BUFF,6.78,8.79,10.81,13.29,3.73,214,1 9/16,1 1/4,5/8,A-19A
36845,SIERRA II GRAY,6.78,8.79,10.81,13.29,3.73,214,1 9/16,1 1/4,5/8,A-19A
36858,SIERRA II BEIGE,6.78,8.79,10.81,13.29,3.73,214,1 9/16,1 1/4,5/8,A-19A
37010,HARMONY SAND,5.01,6.79,8.58,10.84,2.76,380,1,1 3/8,1 1/16,E-01
37024,HARMONY PECAN,5.01,6.79,8.58,10.84,2.76,380,1,1 3/8,1 1/16,E-01
37043,HARMONY COFFEE,5.01,6.79,8.58,10.84,2.76,380,1,1 3/8,1 1/16,E-01
37110,HARMONY PECAN,7.71,9.92,12.14,14.75,4.24,171,1 9/16,1 1/2,1 1/16,E-01
