# Wood Mouldings Catalog (Final Section)

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Pricing per chop
- Join: Pricing per join

## Wood Mouldings (Continued)

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 488153 | 1 1/4" | 198 | Spencer II | 3.55 | 5.23 | 7.79 | 8.79 |
| 488154 | 1 1/4" | 198 | Spencer II | 3.55 | 5.23 | 7.79 | 8.79 |
| 489500 | 1 3/4" | 170 | Finn | 4.11 | 5.85 | 9.93 | 10.93 |
| 489510 | 1 3/4" | 157 | Finn | 4.11 | 5.86 | 9.93 | 10.93 |
| 489520 | 1 3/4" | 168 | Finn | 4.08 | 5.80 | 9.83 | 10.83 |
| 492150 | 1 15/16" | 108 | Spencer | 4.81 | 7.06 | 10.57 | 11.57 |
| 492151 | 1 15/16" | 108 | Spencer | 4.81 | 7.06 | 10.57 | 11.57 |
| 492152 | 1 15/16" | 108 | Spencer | 4.81 | 7.06 | 10.57 | 11.57 |
| 492153 | 1 15/16" | 108 | Spencer II | 4.81 | 7.09 | 10.56 | 11.56 |
| 492154 | 1 15/16" | 108 | Spencer II | 4.81 | 7.09 | 10.56 | 11.56 |
| 492G | 1 1/2" | 216 | Marquis | 3.67 | 7.63 | 13.52 | 14.52 |
| 493200 | 1 3/16" | 288 | Salon 1789 | 2.72 | 5.10 | 7.64 | 8.64 |
| 493225 | 1 3/16" | 288 | Salon 1789 | 2.70 | 5.07 | 7.59 | 8.59 |
| 493615 | 1 5/8" | 270 | Eastlake | 1.85 | 3.39 | 5.46 | 6.46 |
| 494100 | 2" | 135 | Spoleto | 6.22 | 11.37 | 18.99 | 19.99 |
| 494110 | 2" | 110 | Spoleto | 6.18 | 11.32 | 18.85 | 19.85 |
| 494130 | 2" | 118 | Spoleto | 6.24 | 11.40 | 19.02 | 20.02 |
| 496200 | 1 5/16" | 198 | Salon 1789 | 2.98 | 5.46 | 8.18 | 9.18 |
| 496225 | 1 5/16" | 198 | Salon 1789 | 3.02 | 5.53 | 8.28 | 9.28 |
| 497150 | 1 15/16" | 162 | Spencer | 3.76 | 5.53 | 8.28 | 9.28 |
| 497151 | 1 15/16" | 162 | Spencer | 3.70 | 5.43 | 8.14 | 9.14 |
| 497152 | 1 15/16" | 162 | Spencer | 3.77 | 5.76 | 8.32 | 9.32 |
| 497153 | 1 15/16" | 162 | Spencer II | 3.65 | 5.38 | 8.02 | 9.02 |
| 497154 | 1 15/16" | 144 | Spencer II | 3.65 | 5.38 | 8.02 | 9.02 |
| 500CG | 2" | 162 | Marquis | 3.74 | 7.78 | 13.54 | 14.54 |
| 500CS | 2" | 162 | Marquis | 3.74 | 7.78 | 13.54 | 14.54 |
| 501-100M | 5/8" | 424 | Maple & Walnut - Garrett | 5.70 | 8.05 | 10.47 | 11.47 |
| 501-555X | 5/8" | 480 | Steampunk - Garrett | 5.71 | 9.56 | 12.49 | 13.49 |
| 502530 | 1 15/16" | 157 | Tuscany | 4.79 | 8.07 | 12.23 | 13.23 |
| 505170 | 1 9/16" | 114 | Olmsted | 8.86 | 13.05 | 19.71 | 20.71 |
| 506705 | 1 1/16" | 203 | Linea | 4.13 | 5.94 | 9.30 | 10.30 |
| 507160 | 2 1/16" | 216 | Wright | 6.16 | 9.05 | 13.84 | 14.84 |
| 508200 | 1 7/8" | 108 | Salon 1789 | 5.36 | 7.23 | 10.84 | 11.84 |
| 509706 | 1 7/8" | 174 | Olsen | 3.97 | 6.23 | 9.50 | 10.50 |
| 509708 | 1 7/8" | 174 | Olsen | 3.97 | 6.23 | 9.50 | 10.50 |
| 510BL | 13/16" | 216 | Black Reflections | 3.01 | 5.08 | 8.88 | 9.88 |
| 512500 | 1 3/4" | 117 | Finn | 5.84 | 8.32 | 12.88 | 13.88 |
| 512510 | 1 3/4" | 102 | Finn | 5.82 | 8.30 | 12.86 | 13.86 |
| 512520 | 1 3/4" | 100 | Finn | 5.80 | 8.26 | 12.80 | 13.80 |
| 513200 | 2" | 216 | Salon 1789 | 4.44 | 6.57 | 9.87 | 10.87 |
| 513225 | 2" | 216 | Salon 1789 | 4.71 | 6.97 | 10.45 | 11.45 |
| 516250 | 1 9/16" | 175 | Andover Floats | 5.61 | 9.03 | 13.49 | 14.49 |
| 516270 | 1 9/16" | 175 | Andover Floats | 5.70 | 9.09 | 13.49 | 14.49 |
| 516280 | 1 9/16" | 175 | Andover Floats | 5.67 | 9.11 | 13.49 | 14.49 |
| 516290 | 1 9/16" | 175 | Andover Floats | 5.68 | 9.12 | 13.49 | 14.49 |
| 517250 | 2 1/4" | 94 | Andover Floats | 9.38 | 11.95 | 16.86 | 17.86 |
| 517270 | 2 1/4" | 87 | Andover Floats | 9.33 | 11.97 | 16.86 | 17.86 |
| 517280 | 2 1/4" | 90 | Andover Floats | 9.39 | 11.97 | 16.86 | 17.86 |
| 519-500P | 1" | 112 | Multi-float - Garrett | 6.36 | 10.00 | 13.36 | 14.36 |
| 520750 | 2 1/2" | 94 | Sofia | 11.07 | 16.30 | 24.59 | 25.59 |
| 520751 | 2 1/2" | 59 | Sofia | 10.92 | 16.43 | 24.78 | 25.78 |
| 520752 | 2 1/2" | 100 | Sofia | 10.56 | 16.38 | 23.41 | 24.41 |
| 521720 | 2 1/4" | 103 | Vermont | 6.40 | 11.41 | 18.16 | 19.16 |
| 521721 | 2 1/4" | 110 | Vermont | 6.36 | 11.34 | 18.06 | 19.06 |
