# Wood Mouldings Catalog (Final Part)

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Pricing per chop
- Join: Pricing per join

## Wood Mouldings (Continued)

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 372208 | 1 3/16" | 250 | Shoji | 1.73 | 2.37 | 3.39 | 4.39 |
| 395556 | 1 7/16" | 190 | Ferrosa | 6.74 | 10.23 | 16.22 | 17.22 |
| 396350 | 2" | 162 | Brooklyn | 3.09 | 4.83 | 8.10 | 9.10 |
| 398966 | 1 1/2" | 169 | Ascot | 4.86 | 9.03 | 11.84 | 12.84 |
| 398968 | 1 1/2" | 137 | Ascot | 5.08 | 7.59 | 11.84 | 12.84 |
| 399403 | 1 1/2" | 162 | Whitman | 4.87 | 7.17 | 10.93 | 11.93 |
| 399405 | 1 1/2" | 162 | Whitman | 4.87 | 7.17 | 10.93 | 11.93 |
| 400350 | 1 5/8" | 186 | Brimfield | 7.92 | 11.26 | 15.88 | 16.88 |
| 400360 | 1 5/8" | 195 | Brimfield | 7.44 | 10.85 | 15.28 | 16.28 |
| 400750 | 1 5/8" | 112 | Sofia | 7.47 | 11.04 | 17.48 | 18.48 |
| 400751 | 1 5/8" | 192 | Sofia | 7.09 | 10.44 | 16.55 | 17.55 |
| 400752 | 1 5/8" | 180 | Sofia | 7.34 | 10.83 | 17.17 | 18.17 |
| 400CB | 1 9/16" | 198 | Vienna | 3.13 | 5.66 | 9.96 | 10.96 |
| 401240 | 2 11/16" | 54 | Komodo | 9.15 | 13.22 | 20.01 | 21.01 |
| 401250 | 2 11/16" | 54 | Komodo | 9.87 | 14.26 | 21.59 | 22.59 |
| 402530 | 1 9/16" | 213 | Tuscany | 5.47 | 9.93 | 13.81 | 14.81 |
| 403235 | 1 3/16" | 288 | Academie | 1.92 | 4.64 | 7.80 | 8.80 |
| 403237 | 1 3/16" | 282 | Academie | 1.92 | 4.64 | 7.80 | 8.80 |
| 403239 | 1 3/16" | 280 | Academie | 1.93 | 4.66 | 7.83 | 8.83 |
| 405482 | 2" | 153 | Jasper | 2.33 | 3.57 | 5.52 | 6.52 |
| 405484 | 2" | 153 | Jasper | 2.49 | 3.77 | 5.86 | 6.86 |
| 406350 | 2" | 152 | Brooklyn | 3.21 | 5.09 | 8.64 | 9.64 |
| 406361 | 1 1/8" | 234 | Antica | 6.12 | 9.42 | 21.50 | 22.50 |
| 406362 | 1 1/8" | 234 | Antica | 6.12 | 9.42 | 21.30 | 22.30 |
| 406CG | 1 1/8" | 108 | Marquis | 2.71 | 5.72 | 10.11 | 11.11 |
| 406CS | 1 1/8" | 108 | Marquis | 2.71 | 5.72 | 10.11 | 11.11 |
| 408140 | 13/16" | 165 | Chambord | 13.94 | 20.93 | 27.58 | 28.58 |
| 408602 | 1 1/4" | 314 | Kensington | 6.76 | 10.81 | 18.47 | 19.47 |
| 411431 | 1 3/8" | 270 | Zen | 6.45 | 9.55 | 15.50 | 16.50 |
| 411432 | 1 3/8" | 270 | Zen | 6.31 | 9.35 | 15.15 | 16.15 |
| 411433 | 1 3/8" | 243 | Zen | 6.18 | 9.14 | 14.83 | 15.83 |
| 411434 | 1 3/8" | 265 | Zen | 6.25 | 9.27 | 15.02 | 16.02 |
| 413674 | 1 5/8" | 140 | Cranbrook | 6.25 | 9.47 | 15.12 | 16.12 |
| 413675 | 1 5/8" | 120 | Cranbrook | 7.05 | 9.76 | 16.14 | 17.14 |
| 413676 | 1 5/8" | 136 | Cranbrook | 6.38 | 9.57 | 15.83 | 16.83 |
