# Wood Mouldings Catalog (Part 3)

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Pricing per chop
- Join: Pricing per join

## Wood Mouldings (Continued)

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 303180 | 3/4" | 269 | Cranbrook II | 5.55 | 8.89 | 14.00 | 15.00 |
| 303181 | 3/4" | 300 | Cranbrook II | 6.13 | 10.26 | 14.49 | 15.49 |
| 303CG | 1" | 108 | Marquis | 2.84 | 5.99 | 10.46 | 11.46 |
| 305621 | 1 1/8" | 146 | Maison | 3.79 | 5.41 | 8.65 | 9.65 |
| 306180 | 1 1/2" | 135 | Hudson | 4.30 | 6.46 | 10.51 | 11.51 |
| 307680 | 1 1/8" | 185 | Artifact | 6.60 | 8.14 | 13.03 | 14.03 |
| 307682 | 1 1/8" | 185 | Artifact | 6.60 | 8.14 | 13.03 | 14.03 |
| 308140 | 13/16" | 198 | Chambord | 11.89 | 16.33 | 19.86 | 20.86 |
| 309100 | 1 9/16" | 216 | Eiffel | 6.09 | 8.68 | 13.81 | 14.81 |
| 309110 | 1 9/16" | 220 | Eiffel | 5.83 | 8.33 | 13.23 | 14.23 |
| 309120 | 1 9/16" | 177 | Eiffel | 5.87 | 8.37 | 13.31 | 14.31 |
| 309130 | 1 9/16" | 216 | Eiffel | 5.93 | 8.45 | 13.43 | 14.43 |
| 312680 | 1 1/4" | 150 | Artifact | 7.92 | 9.76 | 15.62 | 16.62 |
| 312682 | 1 1/4" | 150 | Artifact | 7.92 | 9.76 | 15.62 | 16.62 |
| 313183 | 1" | 295 | Cranbrook | 4.12 | 5.82 | 8.62 | 9.62 |
| 313674 | 1" | 277 | Cranbrook | 4.48 | 7.77 | 10.04 | 11.04 |
| 313675 | 1" | 270 | Cranbrook | 4.55 | 6.88 | 10.01 | 11.01 |
